Date,Adj Close,Close,High,Low,Open,Volume
2024-03-07,69517.23438,72200,73300,72200,73100,14516963
2024-03-08,70576.35938,73300,73400,72600,72800,19271349
2024-03-11,69709.80469,72400,73100,72300,72900,9740504
2024-03-12,70576.35938,73300,73500,72100,72600,13011654
2024-03-13,71346.64063,74100,74100,73500,73700,15243134
2024-03-14,71539.19531,74300,74500,73600,74400,22545539
2024-03-15,69613.53125,72300,73700,72300,73400,22580555
2024-03-18,70094.94531,72800,73000,72500,72600,11520348
2024-03-19,70094.94531,72800,73000,71700,72300,15376066
2024-03-20,74042.59375,76900,77200,73400,73700,50106297
2024-03-21,76353.41406,79300,79300,77700,79200,44569799
2024-03-22,75968.28125,78900,79900,77800,79600,26724761
2024-03-25,75294.28125,78200,79800,77800,79600,18703996
2024-03-26,76931.125,79900,80100,79200,79700,30551494
2024-03-27,76834.84375,79800,80000,79200,79200,17424595
2024-03-28,78151.22656,80800,81000,79200,79400,25084812
2024-03-29,79698.75781,82400,82500,80900,81200,27126366
2024-04-01,79311.875,82000,83300,82000,83200,20116513
2024-04-02,82213.53125,85000,85000,82900,82900,37077944
2024-04-03,81343.03125,84100,85000,83500,84300,30493347
2024-04-04,82503.70313,85300,85500,84300,85200,25248934
2024-04-05,81729.92969,84500,85000,83800,84500,18883752
2024-04-08,81729.92969,84500,86000,84500,85200,18953232
2024-04-09,80859.42969,83600,84900,83100,84500,23725956
2024-04-11,81343.03125,84100,84700,82500,83200,25538009
2024-04-12,80956.14063,83700,84900,83200,84700,17061770
2024-04-15,79505.33594,82200,83200,81200,82900,26663772
2024-04-16,77377.44531,80000,81300,79400,81200,31949845
2024-04-17,76313.5,78900,80800,78900,80700,22611631
2024-04-18,76990.55469,79600,80100,78300,78800,21370190
2024-04-19,75056.125,77600,78700,76300,78300,31317563
2024-04-22,73605.28906,76100,77500,75100,77400,30469477
2024-04-23,73024.96094,75500,76800,75500,76400,18717699
2024-04-24,76023.34375,78600,78800,77200,77500,22166150
2024-04-25,73798.75,76300,77500,76300,77300,15549134
2024-04-26,74185.63281,76700,77900,76500,77800,12755629
2024-04-29,74185.63281,76700,77600,76200,77400,14664474
2024-04-30,74959.39844,77500,78500,76600,77000,19007007
2024-05-02,75443,78000,78600,77300,77600,18900640
2024-05-03,75056.125,77600,79000,77500,79000,13151889
2024-05-07,78634.83594,81300,81300,79400,79600,26238868
2024-05-08,78634.83594,81300,81400,80500,80800,13089576
2024-05-09,77087.27344,79700,81500,79700,81100,18759935
2024-05-10,76603.67188,79200,81100,78900,80400,16976124
2024-05-13,75829.89844,78400,79900,77600,79400,18652344
2024-05-14,75733.17188,78300,78800,77900,78600,11763992
2024-05-16,75636.45313,78200,80300,78100,80200,20989778
2024-05-17,74862.67188,77400,78800,77200,78600,15918201
2024-05-20,76313.5,78900,79100,77900,78100,19456783
2024-05-21,75829.89844,78400,79000,78200,78500,13690583
2024-05-22,75152.83594,77700,78700,77300,78100,19521506
2024-05-23,75733.17188,78300,79100,77100,77700,18728087
2024-05-24,73411.85156,75900,77000,75700,76800,27891278
2024-05-27,74669.24219,77200,78200,74000,75300,43825202
2024-05-28,75056.125,77600,78000,76200,76500,18539072
2024-05-29,72734.79688,75200,78200,75200,77700,30244875
2024-05-30,71090.51563,73500,75200,73500,74800,28551273
2024-05-31,71090.51563,73500,74700,73500,74500,26198776
2024-06-03,73218.39844,75700,76400,74200,74400,15706268
2024-06-04,72831.51563,75300,76100,74900,74900,14098053
2024-06-05,74862.67188,77400,78000,76800,78000,23177968
2024-06-07,74765.96094,77300,78600,77100,78400,21189349
2024-06-10,73218.39844,75700,76600,75600,76100,14598755
2024-06-11,72734.79688,75200,76000,75100,75900,16971175
2024-06-12,73992.1875,76500,77100,75200,75300,19246725
2024-06-13,76023.34375,78600,79000,77800,78400,33763804
2024-06-14,76990.55469,79600,80500,79000,79700,22926612
2024-06-17,75539.73438,78100,79500,78000,79200,16123051
2024-06-18,77184.00781,79800,80200,78600,78700,18207598
2024-06-19,78538.10938,81200,82500,80500,81100,24168863
2024-06-20,78925,81600,82200,81200,81500,20288913
2024-06-21,77377.44531,80000,80800,80000,80700,17907523
2024-06-24,77957.77344,80600,80900,79500,79700,15454227
2024-06-25,78151.22656,80800,81800,80100,80600,19088458
2024-06-26,78634.83594,81300,81400,79900,80100,17783242
2024-06-27,79277.01563,81600,81600,80500,81300,11739720
2024-06-28,79179.85938,81500,81900,80800,81900,9455929
2024-07-01,79471.3125,81800,82100,81300,81500,11317202
2024-07-02,79471.3125,81800,82600,81500,82500,14471904
2024-07-03,79471.3125,81800,82300,81000,82300,11440328
2024-07-04,82191.60156,84600,84700,82400,82900,43857229
2024-07-05,84620.4375,87100,87100,85200,85600,45791193
2024-07-08,84911.90625,87400,88600,86900,87900,24035809
2024-07-09,85300.51563,87800,88200,86900,87800,21336201
2024-07-10,85300.51563,87800,88000,87100,87600,17813847
2024-07-11,85106.20313,87600,88800,86700,88500,24677608
2024-07-12,81997.29688,84400,86100,84100,85900,26344386
2024-07-15,84231.82813,86700,87300,84100,84700,25193080
2024-07-16,85203.35938,87700,88000,86700,86900,16166688
2024-07-17,84231.82813,86700,88000,86400,87100,18186490
2024-07-18,84426.125,86900,86900,83800,83800,24721790
2024-07-19,81997.29688,84400,86100,84100,85600,18569122
2024-07-22,80637.15625,83000,84900,82600,84400,18987560
2024-07-23,81511.53906,83900,84700,83400,84200,15766389
2024-07-24,79665.625,82000,83300,81900,82900,16939083
2024-07-25,78111.17969,80400,81000,80100,80400,20323811
2024-07-26,78596.9375,80900,81300,80400,80700,14508334
2024-07-29,78888.39844,81200,82000,81100,81600,12797136
2024-07-30,78694.10156,81000,81000,80000,80400,13169636
